产品名称,产品编号,产品型号,产品主图,规格产品编号,离岸价,产品净重(kg)
420169,414,,,414,">=0 ,  USD 0.7400 - 0.8600",
Nozzle 105A-125A,220975,220975,,220975,">=0 ,  USD  - ",
Retaining Cup （Resistance type）,420156,420156,,420156,">=0 ,    - ",
Swirl Ring 40-80A,120925,120925,,120925,">=0 ,    - ",
Retaining Cup （Resistance type）,220936,220936,,220936,">=0 ,    - ",
 promax 200A  electrode,220937,220937,,220937,">=0 ,  USD 2.4100 - 2.7900",
420045,440,,,440,">=0 ,  USD 1.8600 - 2.1400",
Shield Cup 130A HT2000,220536,220536,,220536,">=0 ,  USD 1.8600 - 2.1400",
220193,220193,220193,,220193,">=0 ,  USD 1.7600 - 2.0400",
Nozzle 130A,220182,220182,,220182,">=0 ,  USD 1.7600 - 2.0400",
220554,220554,220554,,220554,">=0 ,  USD 1.7600 - 2.0400",
220313,220313,220313,,220313,">=0 ,  USD 10.2100 - 11.7900",
220756 Cup,220756,220756,,220756,">=0 ,  USD 10.2100 - 11.7900",
Shield Cup 80A,220189,220189,,220189,">=0 ,    - ",0.02
Shield Cup 260A,220764,220764,,220764,">=0 ,  USD 1.8600 - 2.1400",
HPR260A Nozzle,220439,220439,,220439,">=0 ,  USD 1.7600 - 2.0400",
Retaining Cup 260A,220760,220760,,220760,">=0 ,    - ",
220435,220435,220435,,220435,">=0 ,  USD 2.4100 - 2.7900",
Swirl Ring,220436,220436,,220436,">=0 ,  USD 2.7900 - 3.2100",
Nozzle,420491,420491,,420491,"10-499 USD 4.72
500-4999 USD 4.2
>=5000 USD 3.8
",
Nozzle 80A,220188,220188,,220188,">=0 ,  USD  - ",0.06
220179,220179,220179,,220179,">=0 ,  USD 2.7900 - 3.2100",
220180,220180,220180,,220180,">=0 ,  USD 2.7900 - 3.2100",
TOBERA DE GAS 16 X 96MM 1 R/CUADRADA,0500.2778,0500.2778,,0500.2778,USD 3.4600,
TOBERA DE GAS 19X96MM,0500.2779,0500.2779,,0500.2779,USD 3.4600,
TUBO CONTACTO E-CU 1.0,0500.1081,0500.1081,,0500.1081,USD 0.4000,
TUBO CONTACTO E-CU 1.2,0500.1082,0500.1082,,0500.1082,USD 0.4000,
DIFUSOR DE GAS ROSCA CUADRADA  5/16" 68M,0500.2472,0500.2472,,0500.2472,USD 1.5200,
ISOLADOR DE DIFUSOR DE GAS,0500.1103,0500.1103,,0500.1103,USD 0.5300,
CUELLO CURVO 50GRADOS,0500.1104,0500.1104,,0500.1104,USD 6.3000,
DIFUSOR DE GASS LARGO,0500.2997,0500.2997,,0500.2997,USD 2.3300,
ACCIONAMIENTO CORTO TORCHA,0502.1427,0502.1427,,0502.1427,USD 0.4000,
TOBERA DE GAS R/CUADRADA 15X66MM,0500.2620,0500.2620,,0500.2620,USD 2.6200,
DIFUSOR DE GAS ROSCA CUADRADA 5/16 38MM,0500.1101,0500.1101,,0500.1101,USD 0.8100,
TUBO DE CONTACTO E-CU 0.8 ES IGUAL A LA 535,0500.1080,0500.1080,,0500.1080,USD 0.4000,
TUBO DE CONTACTO E-CU 1.2ES IGUALA LA 535,0500.1087,0500.1087,,0500.1087,USD 0.7000,
TUBO DE CONTACTO E-CU 1.0,0500.1086,0500.1086,,0500.1086,USD 0.7000,
COMPLETE GUN MIG/MAG SU 335 3M ROSCA CUADRADA/EUROCONECTOR,0500.4151,0500.4151,,0500.4151,USD 57.0000,
COMPLETE GUN MIG/MAGSU 335 4.5M ROSCA CUADRADA/EUROCONECTOR,0500.4152,0500.4152,,0500.4152,USD 72.8000,
WELDING MASK,937,,,937,USD 4.5000,
GLOVES,938,,,938,USD 2.0000,
COMPLETE GUN MIG/MAG SU 535 ROSCA CUADRADA/EURO CONECTOR 3MTS,0500.5085,0500.5085,,0500.5085,USD 69.8000,
COMPLETE GUN MIG/MAG SU 535 ROSCA CUADRADA/EURO CONECTOR 4.5MTS,0500.5086,0500.5086,,0500.5086,USD 60.4500,
TORCH HANDLE,0500.1455,0500.1455,,0500.1455,USD 2.8000,
102HC（2no）,936,,,936, ,
A141 COMPLETE TORCH 5M EURO CONECTOR,935,,,935, ,
P80 TORCH 5M 100A EURO CONECTOR,934,,,934, ,
36AK TORCH AND CABLE 3M euro conect,933,,,933, ,
36AK TORCH AND CABLE 4.5M euro conect,932,,,932, ,
Torch Head YK100+Cable,930,,,930, ,
HC-1003 Torch and 7m cable,918,,,918, ,
PT100 gun head plus cable 5m,PT100 hand-held curved gun 5m,,,PT100 hand-held curved gun 5m, ,
Shield 200A 220356,220356,,,220356, ,
610D Tip Holder,927,,,927, ,
Hypertherm 229478 Leads,926,,,926, ,
Hypertherm 220521 Water Tube Assembly,925,,,925, ,
Hypertherm 220937 Electrode,924,,,924, ,
Hypertherm 220925 Electrode,921,,,921, ,
FY 200 ,920,FY 200,,920, ,
FY300-TOUCH,FY300,FY300,,FY300, ,
M10*35 —— 2.6 Hole,919,,,919, ,
cable 8m,917,,,917, ,
Nozzle HC-1003    ,132110 (60-100A),,,132110 (60-100A), ,
Welding machine CUT-100,916,,,916, ,
Welding Helmet (Head-mounted)With Nylon Ratchet Head Gear,915,,,915, ,
Welding Electrode Holder Ampere Rating: 450-500 A,914,,,914, ,
Welding Electrode Holder Ampere Rating: 300-350 A,913,,,913, ,
Hand Held Water Cooled TIG Welding Torch   7.6m,912,,,912, ,
Hand Held Air Cooled TIG Welding Torch   7.6m,911,,,911, ,
er70s-6 1.2mm,737,,,737, ,
Brass grounding clamp 500A,910,,,910, ,
P80 cable 15m,907,,,907, ,
Black Wolf P80 8 m,906,,,906, ,
wire guide nozzle,905,,,905, ,
laser welding nozzle,903,,,903, ,
M8 cutting nozzle  1.5mm,902,,,902, ,
 laser  wire tip  0.8,901,,,901, ,
BS16,900,,,900, ,
TIP  M14  45*4.0,899,,,899, ,
TIP  M14   45*3.2,898,,,898, ,
ESAB Contact tip 0468502006,M8*37,,,M8*37, ,
M8 bristle brush head,897,,,897, ,
WP20F--8M,896,,,896,USD 55.6000,
YY100 nozzle,895,,,895, ,
YY100  electrode,894,,,894, ,
NOZZLE 4.2 X 95 WITHOUT THREAD,892,,,892, ,
NOZZLE 4.2 X L95 M16x1.5,891,,,891, ,
"42,0001,4751,10","42,0001,4751,10",,,"42,0001,4751,10", ,
104119,889,104119,,889, ,
Protecting Cap 250,888,,,888, ,
pt31 short Nozzle,PT3107 short Nozzle,,,PT3107 short Nozzle, ,
Protective lens  D24.9 * 1.5,886,,,886, ,
BM111,884,,,884, ,
Cutting piece 115×1.2×22mm,882,,,882, ,
Cutting piece230×2.0×22.2mm,881,,,881, ,
PT31 porcelain nozzle,880,,,880, ,
A字钳,879,,,879, ,
P160 Nozzle/ P80 Straight Nozzle,878,,,878_1, ,
,,,,878_2, ,
,,,,878_3, ,
,,,,878_4, ,
TIG焊接连接器面板,877,,,877, ,
TIG焊接连接器插头,876,,,876, ,
GAS NOZZLE D151D25x75 CTM23X2 "FRONIUS',875,,,875, ,
CONTACT TIP #0.9M8x1.5D10x32 "FRONIUS",874,M8-32 E-cu,,874, ,
"FRONIUS #42,0001,3975,5""NOZZLE STOCK M8x",873,,,873, ,
M6*45 Tip 0.8 ,872,,,872, ,
CONTACT TIP 1.2#M.8X1.5O10X32 "FRONIUS",871,M8-32  E-cu,,871, ,
GAS NOZZLE D15/D25x68 CTM23x2 "FRONIUS",4200014052,,,4200014052, ,
WP17-4M,870,,,870, ,
Nozzle,420279,420279,,420279,USD 6.5000,
420261,420261,420261,,420261, ,
"Collet for27 torches,1/16""1.6mm",57N46,57N46,,57N46,">=0 ,    - ",
420513,420513,420513,,420513, ,
42.0001.5607,42.0001.5607,42.0001.5607,,42.0001.5607, ,
42.0001.5122,42.0001.5122,42.0001.5122,,42.0001.5122, ,
420151   Fine cut – 125 ,420151,420151,,420151, ,
PMX45 nozzle,220718 ,220718 ,,220718 ,USD ,
PMX45 nozzle,220671 ,220671 ,,220671 ,USD ,
PMX45 nozzle,220672 ,220672 ,,220672 ,USD ,
220831 ( promax 200)voquilla,220831,220831,,220831, ,
220834   ( promax 200),220834,220834,,220834, ,
420135 Capuchon air 30,420135,420135,,420135, ,
420132 Electrodo air 30,420132,420132,,420132, ,
420133 Anillo air 30,420133,420133,,420133, ,
420134 Boquilla air 30,420134,420134,,420134, ,
Nozzle-61A ,W03X0893-61A,W03X0893-61A,,W03X0893-61A, ,
Nozzle-62A,W03X0893-62A,W03X0893-62A,,W03X0893-62A, ,
Nozzle-63A,W03X0893-63A,W03X0893-63A,,W03X0893-63A, ,
408617,408617,408617,,408617, ,
425023,425023,425023,,425023, ,
Shield 105A,220798,220798,,220798,">=0 ,  USD 0.9300 - 1.0700",
220194,220194,220194,,220194,">=0 ,  USD 0.7400 - 0.8600",
220354,220354,220354,,220354,">=0 ,  USD 1.7600 - 2.0400",
220757 Cup,220757,220757,,220757,">=0 ,  USD 11.1400 - 12.8600",
220552,220552,220552,,220552,">=0 ,  USD 2.4100 - 2.7900",
220553,220553,220553,,220553,">=0 ,  USD 2.7900 - 3.2100",
220192,220192,220192,,220192,">=0 ,  USD 2.4100 - 2.7900",
220948,220948,220948,,220948,">=0 ,  USD 0.9300 - 1.0700",
220528,220528,220528,,220528,">=0 ,  USD 2.4100 - 2.7900",
220529,220529,220529,,220529,">=0 ,  USD 2.7900 - 3.2100",
220890,220890,220890,,220890,">=0 ,  USD 1.5800 - 1.8200",
220532,220532,220532,,220532,">=0 ,  USD 1.8600 - 2.1400",
428145,428145,428145,,428145,">=0 ,  USD 8.3600 - 9.6400",
428248,428248,428248,,428248,">=0 ,  USD 2.7900 - 3.2100",
428144,428144,428144,,428144,">=0 ,  USD 8.3600 - 9.6400",
Isolated Wheel/P80,PC0065,PC0065,,PC0065, ,
Cerminc Outside Nozzie/P80,PC0068,PC0068,,PC0068, ,
Diffuser A101-A141,PE0101,PE0101,,PE0101, ,
"25AK Gas nozzle, conical NDφ15.0 Copper",145.0076.Copper,145.0076.Copper,,145.0076.Copper,"50-499 USD 0.97
500-4999 USD 0.9
>=5000 USD 0.84
",
Nozzle （35-60A）φ1.2 HC-1003,132106,132106,,132106,">=0 ,    - ",
Nozzle φ2.3 FY-XF300H,132110,132110,,132110,">=0 ,    - ",
Electrode HC-1003,131010,131010,,131010,">=0 ,    - ",
Torch Head HC-1003,HC-1003 T,HC-1003 T,,HC-1003 T,">=0 ,    - ",
Vortex Ring HC-2001,216020,216020,,216020,">=0 ,    - ",
Water Core HC-2001,214020,214020,,214020,">=0 ,    - ",
Shield Cap HC-2001·,213020,213020,,213020,">=0 ,    - ",
Nozzle （60-100A）φ1.5 HC-2001,212010,212010,,212010,">=0 ,    - ",
Nozzle （100-150A）φ1.7 HC-2001,212015,212015,,212015,">=0 ,    - ",
Nozzle （150-200A）φ2.0 HC-2001,212020,212020,,212020,">=0 ,    - ",
Electrode HC-2001,211020,211020,,211020,">=0 ,    - ",
Torch Head HC-2001,HC-2001 T,HC-2001 T,,HC-2001 T,">=0 ,    - ",
Cutting Handle HC-1303,339013,339013,,339013,">=0 ,    - ",
Protective cap cover HC-1303,338013,338013,,338013,">=0 ,    - ",
Big Fixed Hood HC-1003,335013,335013,,335013,">=0 ,    - ",
Water Core HC-1303,334013,334013,,334013,">=0 ,    - ",
Shield Cap HC-1303,333013,333013,,333013,">=0 ,    - ",
Nozzle （35-60A）φ1.2 HC-1303,332006,332006,,332006,">=0 ,    - ",
Nozzle （60-100A）φ1.5 HC-1303,332010,332010,,332010,">=0 ,    - ",
Nozzle （100-130A）φ1.7 HC-1303,332013,332013,,332013,">=0 ,    - ",
Electrode HC-1303,331013,331013,,331013,">=0 ,    - ",
Cable assembly/HC-1303/1m,HC-1303 TC,HC-1303 TC,,HC-1303 TC,">=0 ,    - ",
Torch Head HC-1303,HC-1303 T,HC-1303 T,,HC-1303 T,">=0 ,    - ",
Cutting Handle HC-1201,129013,129013,,129013,">=0 ,    - ",
Big Fixed Hood HC-1201,125013,125013,,125013,">=0 ,    - ",
Shield Cap HC-1201,123013,123013,,123013,">=0 ,    - ",
Nozzle （35-60A）φ1.2 HC-1201,122006,122006,,122006,">=0 ,  USD  - ",
Nozzle （60-100A）φ1.5 HC-1201,122010,122010,,122010,">=0 ,  USD  - ",
Nozzle （100-130A）φ1.7 HC-1201,122013,122013,,122013,">=0 ,  USD  - ",
Electrode HC-1201,121013,121013,,121013,">=0 ,    - ",
Torch Head HC-1201,HC-1201 T,HC-1201 T,,HC-1201 T,">=0 ,    - ",
Cutting Handle HC-1003,139010,139010,,139010,">=0 ,    - ",
Big Fixed Hood HC-1003,135310,135310,,135310,">=0 ,    - ",
Protective Cap HC-1003,133210,133210,,133210,">=0 ,    - ",
Nozzle （35A）φ1.0 HC-1003,132103,132103,,132103,">=0 ,    - ",
Shield cap YK300,YK300104,YK300104,,YK300104,">=0 ,    - ",
Retaining Cup YK300,YK300106,YK300106,,YK300106,">=0 ,    - ",
Nozzle φ2.8 YK300,YK300103(2.8),YK300103(2.8),,YK300103(2.8),">=0 ,    - ",
Nozzle φ2.5 YK300,YK300103(2.5),YK300103(2.5),,YK300103(2.5),">=0 ,    - ",
Nozzle φ2.2 YK300,YK300103(2.2),YK300103(2.2),,YK300103(2.2),">=0 ,    - ",
Nozzle φ1.8 YK300,YK300103(1.8),YK300103(1.8),,YK300103(1.8),">=0 ,    - ",
Nozzle φ1.6 YK300,YK300103(1.6),YK300103(1.6),,YK300103(1.6),">=0 ,    - ",
Nozzle YK300,YK300103,YK300103,,YK300103,">=0 ,    - ",
Electrode YK300,YK300102,YK300102,,YK300102,">=0 ,    - ",
Torch Head YK300,YK300101,YK300101,,YK300101,">=0 ,    - ",
Lock Ring YK200,YK200105,YK200105,,YK200105,">=0 ,    - ",
Shield cap YK200,YK200104,YK200104,,YK200104,">=0 ,    - ",
Retaining Cup YK200,YK200106,YK200106,,YK200106,">=0 ,    - ",
Nozzle φ2.8 YK200,YK200103(2.8),YK200103(2.8),,YK200103(2.8),">=0 ,    - ",
Nozzle φ2.5 YK200,YK200103(2.5),YK200103(2.5),,YK200103(2.5),">=0 ,    - ",
Nozzle φ2.2 YK200,YK200103(2.2),YK200103(2.2),,YK200103(2.2),">=0 ,    - ",
Nozzle φ1.8 YK200,YK200103(1.8),YK200103(1.8),,YK200103(1.8),">=0 ,    - ",
Nozzle φ1.6 YK200,YK200103(1.6),YK200103(1.6),,YK200103(1.6),">=0 ,    - ",
Nozzle YK200,YK200103,YK200103,,YK200103,">=0 ,    - ",
Electrode YK200,YK200102,YK200102,,YK200102,">=0 ,    - ",
Torch Head YK200,YK200101,YK200101,,YK200101,">=0 ,    - ",
Nozzle φ1.8 YK100,YK100103(1.8),YK100103(1.8),,YK100103(1.8),">=0 ,    - ",
Nozzle φ1.6 YK100,YK100103(1.6),YK100103(1.6),,YK100103(1.6),">=0 ,    - ",
Nozzle φ1.2 YK100,YK100103(1.2),YK100103(1.2),,YK100103(1.2),">=0 ,    - ",
Electrode YK100,YK100102,YK100102,,YK100102,">=0 ,    - ",
Torch Head YK100,YK100101,YK100101,,YK100101,">=0 ,    - ",
Cutting head YK330,YK02081,YK02081,,YK02081,">=0 ,    - ",
Vortex Ring YK330,YK02301,YK02301,,YK02301,">=0 ,    - ",
Outer protective cover,YK02601,YK02601,,YK02601,USD 19.3000,
Inner protective cover,YK02501,YK02501,,YK02501,USD 6.4000,
Lock Ring,YK02711,YK02711,,YK02711,USD 6.4000,
Water mist Shield Cap YK330,YK02702,YK02702,,YK02702,">=0 ,    - ",
Dry-type Shield Cap YK330,YK02701,YK02701,,YK02701,">=0 ,    - ",
Nozzle （40-50mm）φ3.5 YK330,YK02435,YK02435,,YK02435,">=0 ,    - ",
Nozzle （30-40mm）φ3.2 YK330,YK02432,YK02432,,YK02432,">=0 ,    - ",
Nozzle (25-35mm) D2.8,YK02428,YK02428,,YK02428,USD 2.0000,
Nozzle (20-30mm) D2.5,YK02425,YK02425,,YK02425,USD 2.0000,
Nozzle （16-20mm）φ2.1 YK330,YK02421,YK02421,,YK02421,">=0 ,    - ",
Nozzle （12-20mm）φ1.9 YK330,YK02419,YK02419,,YK02419,">=0 ,    - ",
Nozzle (5-14mm)D1.7,YK02417,YK02417,,YK02417,USD 2.0000,
Nozzle (6-12mm) D1.5,YK02415,YK02415,,YK02415,USD 2.0000,
Nozzle （3-7mm）φ1.3 YK330,YK02413,YK02413,,YK02413,">=0 ,    - ",
Electrode YK02201,YK022011,YK022011,,YK022011,">=0 ,    - ",
Lock Ring YK300,YK300105,YK300105,,YK300105,">=0 ,    - ",
Shield Cup（Hand Type） 40-80A,120929,120929,,120929,">=0 ,    - ",
Big Fixed Hood FY-XF300H,FY300205,FY300205,,FY300205,">=0 ,    - ",
Water Core FY-XF300H,FY300204,FY300204,,FY300204,">=0 ,    - ",
Shield Cap FY-XF300H,FY300203,FY300203,,FY300203,">=0 ,    - ",
Nozzleφ2.3 FY-XF300H,XF300130-2.3,XF300130-2.3,,XF300130-2.3,">=0 ,    - ",
Nozzle φ1.9 FY-XF300H,XF300130-1.9,XF300130-1.9,,XF300130-1.9,">=0 ,    - ",
Nozzle φ1.7 FY-XF300H,XF300130-1.7,XF300130-1.7,,XF300130-1.7,">=0 ,    - ",
Nozzle φ1.5 FY-XF300H,XF300130-1.5,XF300130-1.5,,XF300130-1.5,">=0 ,    - ",
Water Core FY-A200H,FY200204,FY200204,,FY200204,">=0 ,    - ",
Big Fixed Hood FY-A200H,FY200205,FY200205,,FY200205,">=0 ,    - ",
Shield Cap FY-A200H,FY200203,FY200203,,FY200203,">=0 ,    - ",
Nozzle φ2.1 FY-A200H,FY200202-2.1,FY200202-2.1,,FY200202-2.1,">=0 ,    - ",
Nozzle φ1.9 FY-A200H,FY200202-1.9,FY200202-1.9,,FY200202-1.9,">=0 ,    - ",
Nozzle φ1.7 FY-A200H,FY200202-1.7,FY200202-1.7,,FY200202-1.7,">=0 ,    - ",
Nozzle φ1.5 FY-A200H,FY200202-1.5,FY200202-1.5,,FY200202-1.5,">=0 ,    - ",
Nozzle φ1.3 FY-A200H,FY200202-1.3,FY200202-1.3,,FY200202-1.3,">=0 ,    - ",
Electrode FY-A200H,FY200201,FY200201,,FY200201,">=0 ,    - ",
Vortex Ring YGX200,YGX200207,YGX200207,,YGX200207,">=0 ,    - ",
Big Fixed Hood YGX200,YGX200206,YGX200206,,YGX200206,">=0 ,    - ",
Protective cap cover YGX200,YGX200205,YGX200205,,YGX200205,">=0 ,    - ",
Shield Cup YGX200,YGX200204,YGX200204,,YGX200204,">=0 ,    - ",
Nozzle （28-40mm）φ1.5 YGX200,YGX200203-2.8,YGX200203-2.8,,YGX200203-2.8,">=0 ,    - ",
Nozzle （22-30mm）φ1.5 YGX200,YGX200203-2.5,YGX200203-2.5,,YGX200203-2.5,">=0 ,    - ",
Nozzle （16-25mm）φ1.5 YGX200,YGX200203-2.3,YGX200203-2.3,,YGX200203-2.3,">=0 ,    - ",
Nozzle （10-20mm）φ1.5 YGX200,YGX200203-2.1,YGX200203-2.1,,YGX200203-2.1,">=0 ,    - ",
Nozzle （5-12mm）φ1.5 YGX200,YGX200203-1.8,YGX200203-1.8,,YGX200203-1.8,">=0 ,    - ",
Electrode YGX200,YGX200202,YGX200202,,YGX200202,">=0 ,    - ",
Swirl Ring 45A,220670,220670,,220670,">=0 ,  USD 2.2300 - 2.5700",
Electrode 45A,220669,220669,,220669,">=0 ,    - ",
Retaining Cup （Resistance type）,220719,220719,,220719,">=0 ,    - ",
Cable assembly,228790,228790,,228790,">=0 ,    - ",
Mounting Sleeve w/Screws,128643,128643,,128643,">=0 ,    - ",
"Torch Main Body,Machine,100A",228523,228523,,228523,">=0 ,    - ",
"Torch Main Body,Machine,80A",128640,128640,,128640,">=0 ,    - ",
Swirl Ring 100A,220051,220051,,220051,">=0 ,    - ",
Electrode 100A,220037,220037,,220037,">=0 ,    - ",
Electrode 40-80A,120926,120926,,120926,">=0 ,    - ",
Nozzle 100A,220011,220011,,220011,">=0 ,  USD  - ",
Nozzle 80A,120927,120927,,120927,">=0 ,    - ",
Nozzle 60A,120931,120931,,120931,">=0 ,    - ",
Nozzle 40A,120932,120932,,120932,">=0 ,    - ",
Retaining Cup （Resistance type）100A,220206,220206,,220206,">=0 ,    - ",
Retaining Cup 100A,220048,220048,,220048,">=0 ,    - ",
Retaining Cup （Resistance type）80A,220061,220061,,220061,">=0 ,    - ",
Retaining Cup 80A,120928,120928,,120928,">=0 ,    - ",
Shield Cup 100A,220047,220047,,220047,">=0 ,    - ",
Shield Cup（Hand Type）100A,220065,220065,,220065,">=0 ,    - ",
Shield Cup 40-80A,120930,120930,,120930,">=0 ,    - ",
Retaining Cup （Resistance type）,120837,120837,,120837,">=0 ,    - ",
Retaining Cup,020423,020423,,020423,">=0 ,    - ",
Shield Cup 200A,120260,120260,,120260,">=0 ,    - ",
Shield Cup 200A,020424,020424,,020424,">=0 ,    - ",
Shield Cup 100A,020448,020448,,020448,">=0 ,    - ",
Water Tube,220521,220521,,220521,">=0 ,    - ",
Electrode 130A,220487,220487,,220487,">=0 ,    - ",
Nozzle 130A,220492,220492,,220492,">=0 ,  USD  - ",
Retaining Cup,220578,220578,,220578,">=0 ,    - ",
Shield O2 130A,220489,220489,,220489,">=0 ,    - ",
Shield Cup O,220491,220491,,220491,">=0 ,    - ",
Cable assembly,59520,59520,,59520,">=0 ,    - ",
"Torch Main Body,Machine",428147,428147,,428147,">=0 ,    - ",
Swirl Ring,220997,220997,,220997,">=0 ,  USD 3.9000 - 4.5000",
Electrode,220971,220971,,220971,">=0 ,    - ",
Nozzle 65A,420169,420169,,420169,">=0 ,    - ",
Nozzle 45A,420158,420158,,420158,">=0 ,    - ",
Shield Cup 10A-125A,220976,220976,,220976,">=0 ,    - ",
Shield Cup 45A-60A,420168,420168,,420168,">=0 ,    - ",
Mounting Sleeve w/Screws,228735,228735,,228735,">=0 ,    - ",
"Torch Main Body,Machine",228716,228716,,228716,">=0 ,    - ",0.12
Retaining Cup 260A HPR260,220433,220433,,220433,">=0 ,    - ",
Shield Cup bevel 260A,220741,220741,,220741,">=0 ,    - ",
Shield Cup 200A,220761,220761,,220761,">=0 ,    - ",
Cap,220637,220637,,220637,">=0 ,    - ",
Shield Cup HPD260,220398,220398,,220398,">=0 ,    - ",
Water Tube,220340,220340,,220340,"10-499 USD 1.3
500-999 USD 1.2
>=1000 USD 1
",
Electrode 130A,220181,220181,,220181,">=0 ,    - ",
Retaining Cup HPR130,220176,220176,,220176,">=0 ,    - ",
Shield Cup 130A,220183,220183,,220183,">=0 ,    - ",
Shield Cup HPR130XD,220747,220747,,220747,">=0 ,    - ",
Shield Cup HPR130,220173,220173,,220173,">=0 ,    - ",
Nozzle 200A HT2000,220903,220903,,220903,">=0 ,  USD  - ",
Nozzle 130A HT2000,220892,220892,,220892,">=0 ,  USD  - ",
Shield Cup 200A HT2000,220832,220832,,220832,">=0 ,    - ",
Shield Cup 200A,420045,420045,,420045,">=0 ,    - ",
"Torch Main Body,Machine",120584,120584,,120584,">=0 ,    - ",
Water Tube,20963,20963,,20963,">=0 ,    - ",
Electrode 200A,120258,120258,,120258,">=0 ,    - ",
Electrode 200A,220021,220021,,220021,">=0 ,    - ",
Electrode 100A,120547,120547,,120547,">=0 ,    - ",
 MAX200/HT2000 Nozzle 200A,120259,120259,,120259,">=0 ,  USD  - ",
Water Tube,120025,120025,,120025,">=0 ,    - ",
Electrode 400A,120810,120810,,120810,">=0 ,    - ",
HT4400 Nozzle 400A,120934,120934,,120934,">=0 ,  USD  - ",
Shield  Cup,120786,120786,,120786,">=0 ,    - ",
Electrode 400A,220629,220629,,220629,">=0 ,    - ",
Swirl Ring ，400A,220631,220631,,220631,">=0 ,    - ",
Retaining Cup,220635,220635,,220635,">=0 ,    - ",
Shield  Cup,220636,220636,,220636,">=0 ,    - ",
Water Tube,220571,220571,,220571,">=0 ,    - ",
